job_id,tag,matrix,perm,time_reordering_ms,time_loading_ms
816724,SB_slashburn,adder_dcop_29.mtx,SB_slashburn,5.480033,9.292633
816722,SB_slashburn,adder_dcop_28.mtx,SB_slashburn,5.957126,64.670586
816716,SB_slashburn,adder_dcop_26.mtx,SB_slashburn,5.259532,14.148779
816714,SB_slashburn,adder_dcop_25.mtx,SB_slashburn,5.284983,69.868736
816719,SB_slashburn,adder_dcop_27.mtx,SB_slashburn,5.362939,49.706253
816712,SB_slashburn,adder_dcop_24.mtx,SB_slashburn,5.386716,18.369356
816710,SB_slashburn,adder_dcop_23.mtx,SB_slashburn,5.388541,9.69671
816708,SB_slashburn,adder_dcop_22.mtx,SB_slashburn,5.301857,10.128574
816705,SB_slashburn,adder_dcop_21.mtx,SB_slashburn,5.391195,15.545802
816701,SB_slashburn,adder_dcop_20.mtx,SB_slashburn,5.336817,13.241916
816699,SB_slashburn,adder_dcop_19.mtx,SB_slashburn,5.361546,16.46578
816697,SB_slashburn,adder_dcop_18.mtx,SB_slashburn,5.296396,12.670215
816696,SB_slashburn,adder_dcop_17.mtx,SB_slashburn,5.355874,14.384851
816694,SB_slashburn,adder_dcop_16.mtx,SB_slashburn,5.355905,63.383305
816692,SB_slashburn,adder_dcop_15.mtx,SB_slashburn,5.338801,14.514961
816689,SB_slashburn,adder_dcop_14.mtx,SB_slashburn,5.269582,70.566017
816686,SB_slashburn,adder_dcop_13.mtx,SB_slashburn,3.01898,8.699237
816684,SB_slashburn,adder_dcop_12.mtx,SB_slashburn,3.020141,9.977778
816682,SB_slashburn,adder_dcop_11.mtx,SB_slashburn,2.997409,8.217101
816681,SB_slashburn,adder_dcop_10.mtx,SB_slashburn,3.037664,7.879438
816679,SB_slashburn,adder_dcop_09.mtx,SB_slashburn,3.006596,8.177016
816677,SB_slashburn,adder_dcop_08.mtx,SB_slashburn,3.052182,7.317171
816673,SB_slashburn,adder_dcop_07.mtx,SB_slashburn,3.102286,9.511683
816671,SB_slashburn,adder_dcop_06.mtx,SB_slashburn,3.031884,8.932765
816668,SB_slashburn,adder_dcop_05.mtx,SB_slashburn,3.054596,8.100513
816666,SB_slashburn,adder_dcop_04.mtx,SB_slashburn,2.84351,8.70643
816664,SB_slashburn,adder_dcop_03.mtx,SB_slashburn,3.021915,8.157228
816662,SB_slashburn,adder_dcop_02.mtx,SB_slashburn,3.034198,10.212508
816660,SB_slashburn,adder_dcop_01.mtx,SB_slashburn,2.997309,13.888301
816656,SB_slashburn,ecl32.mtx,SB_slashburn,2498.427734,158.293839
816652,SB_slashburn,nmos3.mtx,SB_slashburn,802.684692,139.963379
816651,SB_slashburn,igbt3.mtx,SB_slashburn,354.617188,82.640274
816649,SB_slashburn,matrix-new_3.mtx,SB_slashburn,7407.724609,843.009094
816646,SB_slashburn,ibm_matrix_2.mtx,SB_slashburn,1748.875122,369.334351
816644,SB_slashburn,3D_51448_3D.mtx,SB_slashburn,1762.604736,376.363525
816641,SB_slashburn,3D_28984_Tetra.mtx,SB_slashburn,808.029175,205.334961
816639,SB_slashburn,2D_54019_highK.mtx,SB_slashburn,2423.232178,335.258636
816637,SB_slashburn,2D_27628_bjtcai.mtx,SB_slashburn,706.624634,142.751648
816636,SB_slashburn,c-67.mtx,SB_slashburn,32.015491,140.959717
816634,SB_slashburn,c-66.mtx,SB_slashburn,173.030518,120.128563
816632,SB_slashburn,c-64.mtx,SB_slashburn,44.51144,183.955383
816628,SB_slashburn,c-62.mtx,SB_slashburn,557.978638,148.74086
816625,SB_slashburn,cell2.mtx,SB_slashburn,42.387882,13.203806
816623,SB_slashburn,cell1.mtx,SB_slashburn,44.192165,37.848888
816620,SB_slashburn,sme3Da.mtx,SB_slashburn,1102.434937,500.735748
816618,SB_slashburn,poisson3Da.mtx,SB_slashburn,730.414429,173.495407
816614,SB_slashburn,Andrews.mtx,SB_slashburn,6583.17334,176.050858
816611,SB_slashburn,Alemdar.mtx,SB_slashburn,94.323967,14.761479
816609,SB_slashburn,sinc18.mtx,SB_slashburn,820.908325,420.078217
816608,SB_slashburn,sinc15.mtx,SB_slashburn,506.210968,249.183716
816606,SB_slashburn,sinc12.mtx,SB_slashburn,283.103455,130.788544
816604,SB_slashburn,fd18.mtx,SB_slashburn,190.926926,28.457283
816601,SB_slashburn,fd15.mtx,SB_slashburn,122.067505,21.214148
816598,SB_slashburn,fd12.mtx,SB_slashburn,73.96936,15.338945
816597,SB_slashburn,cage11.mtx,SB_slashburn,3332.98291,498.009155
816595,SB_slashburn,cage10.mtx,SB_slashburn,444.677979,80.880356
816593,SB_slashburn,cage9.mtx,SB_slashburn,101.368767,32.507599
816591,SB_slashburn,cage8.mtx,SB_slashburn,15.218799,9.291016
816589,SB_slashburn,shermanACd.mtx,SB_slashburn,54.132446,168.060898
816587,SB_slashburn,shermanACb.mtx,SB_slashburn,190.949631,58.382687
816584,SB_slashburn,shermanACa.mtx,SB_slashburn,41.38953,14.056265
816582,SB_slashburn,e40r0100.mtx,SB_slashburn,1761.555054,232.803665
816580,SB_slashburn,lung2.mtx,SB_slashburn,773.338989,203.446533
816578,SB_slashburn,heart3.mtx,SB_slashburn,428.842651,305.056854
816576,SB_slashburn,heart2.mtx,SB_slashburn,431.572906,305.698792
816574,SB_slashburn,fv3.mtx,SB_slashburn,104.681213,20.739349
816572,SB_slashburn,fv2.mtx,SB_slashburn,104.683533,25.956877
816569,SB_slashburn,fv1.mtx,SB_slashburn,118.579895,48.395885
816567,SB_slashburn,tandem_vtx.mtx,SB_slashburn,1305.627075,51.669453
816565,SB_slashburn,tandem_dual.mtx,SB_slashburn,5105.012207,86.716187
816563,SB_slashburn,skirt.mtx,SB_slashburn,223.242371,132.032532
816561,SB_slashburn,shuttle_eddy.mtx,SB_slashburn,92.633972,34.93153
816559,SB_slashburn,pwt.mtx,SB_slashburn,833.559753,157.848221
816556,SB_slashburn,onera_dual.mtx,SB_slashburn,4524.867188,237.920822
816553,SB_slashburn,commanche_dual.mtx,SB_slashburn,37.09177,83.183159
816551,SB_slashburn,bodyy6.mtx,SB_slashburn,440.468384,67.902557
816549,SB_slashburn,bodyy5.mtx,SB_slashburn,463.693115,64.940994
816548,SB_slashburn,bodyy4.mtx,SB_slashburn,462.873383,40.130859
816546,SB_slashburn,barth5.mtx,SB_slashburn,539.874817,27.205856
816544,SB_slashburn,barth4.mtx,SB_slashburn,95.215126,23.503098
816541,SB_slashburn,barth.mtx,SB_slashburn,154.328125,22.440222
687079,SB_metis,adder_dcop_45.mtx,SB_metis,39.593975,11.406728
143620,SB_rcm,wang4.mtx,SB_rcm,1.127194,86.26609
143619,SB_rcm,wang3.mtx,SB_rcm,1.11065,88.228683
687077,SB_metis,adder_dcop_43.mtx,SB_metis,39.780342,19.855169
143618,SB_rcm,wang2.mtx,SB_rcm,0.147535,12.612555
687076,SB_metis,adder_dcop_42.mtx,SB_metis,40.21067,38.238567
143617,SB_rcm,wang1.mtx,SB_rcm,0.148416,10.876403
687075,SB_metis,adder_dcop_41.mtx,SB_metis,40.104328,18.696272
143616,SB_rcm,swang2.mtx,SB_rcm,0.245781,12.816893
687074,SB_metis,adder_dcop_40.mtx,SB_metis,40.266212,11.839833
143615,SB_rcm,swang1.mtx,SB_rcm,0.245761,13.257483
687073,SB_metis,adder_dcop_39.mtx,SB_metis,39.856251,12.462889
687072,SB_metis,adder_dcop_38.mtx,SB_metis,39.883915,20.266661
687071,SB_metis,adder_dcop_37.mtx,SB_metis,39.80341,82.924744
687070,SB_metis,adder_dcop_36.mtx,SB_metis,40.065311,29.531837
143611,SB_rcm,raefsky6.mtx,SB_rcm,49.614758,89.66935
687069,SB_metis,adder_dcop_35.mtx,SB_metis,40.972385,27.14731
143610,SB_rcm,raefsky5.mtx,SB_rcm,18.292709,93.644241
687068,SB_metis,adder_dcop_34.mtx,SB_metis,39.864216,10.596618
143609,SB_rcm,raefsky2.mtx,SB_rcm,0.876252,165.579285
687067,SB_metis,adder_dcop_33.mtx,SB_metis,39.627953,14.170905
143608,SB_rcm,raefsky1.mtx,SB_rcm,0.87513,169.355972
687066,SB_metis,adder_dcop_32.mtx,SB_metis,41.222702,10.474233
687065,SB_metis,adder_dcop_31.mtx,SB_metis,40.648895,20.532225
687064,SB_metis,adder_dcop_30.mtx,SB_metis,39.62455,19.642595
143605,SB_rcm,struct4.mtx,SB_rcm,0.824699,35.334179
687063,SB_metis,adder_dcop_29.mtx,SB_metis,39.878716,19.103998
687062,SB_metis,adder_dcop_28.mtx,SB_metis,39.750641,38.528568
687061,SB_metis,adder_dcop_27.mtx,SB_metis,40.346569,15.268828
687060,SB_metis,adder_dcop_26.mtx,SB_metis,39.70084,19.743366
687059,SB_metis,adder_dcop_25.mtx,SB_metis,39.703167,19.261795
143600,SB_rcm,aft01.mtx,SB_rcm,0.507124,38.316391
687058,SB_metis,adder_dcop_24.mtx,SB_metis,39.822201,16.392756
143599,SB_rcm,nemeth20.mtx,SB_rcm,2.585929,332.327972
687057,SB_metis,adder_dcop_23.mtx,SB_metis,39.540581,13.327368
143598,SB_rcm,nemeth19.mtx,SB_rcm,2.290749,280.628845
687056,SB_metis,adder_dcop_22.mtx,SB_metis,40.158123,16.377207
143597,SB_rcm,nemeth18.mtx,SB_rcm,2.029097,240.480545
687055,SB_metis,adder_dcop_21.mtx,SB_metis,39.864887,17.269972
143596,SB_rcm,nemeth17.mtx,SB_rcm,1.813766,213.840195
687054,SB_metis,adder_dcop_20.mtx,SB_metis,34.358021,221.250916
143595,SB_rcm,nemeth16.mtx,SB_rcm,1.723675,203.768387
687052,SB_metis,adder_dcop_18.mtx,SB_metis,34.404118,234.710022
143594,SB_rcm,nemeth15.mtx,SB_rcm,1.687574,187.850464
687051,SB_metis,adder_dcop_17.mtx,SB_metis,34.419487,269.545502
143593,SB_rcm,nemeth14.mtx,SB_rcm,1.454748,169.931625
143592,SB_rcm,nemeth13.mtx,SB_rcm,1.411081,161.852921
687050,SB_metis,adder_dcop_16.mtx,SB_metis,34.521149,199.445679
143591,SB_rcm,nemeth12.mtx,SB_rcm,1.368395,154.554077
687049,SB_metis,adder_dcop_15.mtx,SB_metis,34.414829,269.623566
143590,SB_rcm,nemeth11.mtx,SB_rcm,1.217434,141.80159
687048,SB_metis,adder_dcop_14.mtx,SB_metis,34.474861,215.763275
143589,SB_rcm,nemeth10.mtx,SB_rcm,1.383295,138.200546
687047,SB_metis,adder_dcop_13.mtx,SB_metis,34.21035,253.883362
143588,SB_rcm,nemeth09.mtx,SB_rcm,1.21016,136.953979
687046,SB_metis,adder_dcop_12.mtx,SB_metis,34.203201,283.889984
143587,SB_rcm,nemeth08.mtx,SB_rcm,1.219147,136.346085
687045,SB_metis,adder_dcop_11.mtx,SB_metis,36.532951,314.856018
143586,SB_rcm,nemeth07.mtx,SB_rcm,1.214749,138.325623
143585,SB_rcm,nemeth06.mtx,SB_rcm,1.254007,138.750458
687043,SB_metis,adder_dcop_09.mtx,SB_metis,34.924545,312.500305
143584,SB_rcm,nemeth05.mtx,SB_rcm,1.216793,141.132492
687042,SB_metis,adder_dcop_08.mtx,SB_metis,11.135421,251.031876
143583,SB_rcm,nemeth04.mtx,SB_rcm,1.206582,135.79425
143582,SB_rcm,nemeth03.mtx,SB_rcm,1.198928,135.549667
143581,SB_rcm,nemeth02.mtx,SB_rcm,1.222043,136.76033
143580,SB_rcm,nemeth01.mtx,SB_rcm,2.103545,246.729507
143579,SB_rcm,skirt.mtx,SB_rcm,1.448937,29.266487
687037,SB_metis,adder_dcop_03.mtx,SB_metis,32.901752,289.613617
143578,SB_rcm,shuttle_eddy.mtx,SB_rcm,0.688827,15.731229
687036,SB_metis,adder_dcop_02.mtx,SB_metis,34.199989,198.020325
143577,SB_rcm,pwt.mtx,SB_rcm,2.049628,46.946587
687035,SB_metis,adder_dcop_01.mtx,SB_metis,34.221485,429.250488
143575,SB_rcm,nasa2910.mtx,SB_rcm,0.688176,60.55608
687034,SB_metis,ecl32.mtx,SB_metis,227.548065,1291.221802
143574,SB_rcm,nasa2146.mtx,SB_rcm,0.248116,25.428946
143573,SB_rcm,nasa1824.mtx,SB_rcm,0.178756,14.130185
687032,SB_metis,nmos3.mtx,SB_metis,91.842804,970.659241
687031,SB_metis,igbt3.mtx,SB_metis,76.807457,720.673889
143571,SB_rcm,barth4.mtx,SB_rcm,65.825958,7.728402
687030,SB_metis,matrix-new_3.mtx,SB_metis,274.457092,2544.408691
687029,SB_metis,ibm_matrix_2.mtx,SB_metis,168.782379,1936.788452
143569,SB_rcm,pfinan512.mtx,SB_rcm,3.826019,85.450356
687028,SB_metis,3D_51448_3D.mtx,SB_metis,167.504456,2257.311523
143568,SB_rcm,finan512.mtx,SB_rcm,4.493843,161.303757
687027,SB_metis,3D_28984_Tetra.mtx,SB_metis,137.842712,1391.306885
143576,SB_rcm,nasa4704.mtx,SB_rcm,0.45527,37.046677
687026,SB_metis,2D_54019_highK.mtx,SB_metis,92.898293,2264.047363
687025,SB_metis,2D_27628_bjtcai.mtx,SB_metis,82.204735,1146.196167
