job_id,tag,matrix,perm,perm_type,algo,block_size,n_cols,time_loading_ms,time_write_ms,time_operation_ms,time_transfer_ms
196857,SMAT_SPMM_ROW,route.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,34.350104,88.036089,1.712,
196808,SMAT_SPMM_ROW,r05.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,21.657543,44.907577,0.326,
196886,SMAT_SPMM_ROW,stat96v4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,72.393671,192.940447,3.43,
196911,SMAT_SPMM_ROW,ulevimin.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,32.051665,41.786345,1.778,
196895,SMAT_SPMM_ROW,stat96v5.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,46.56776,57.716768,0.126,
196925,SMAT_SPMM_ROW,world.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,42.913552,82.567958,0.496,
196760,SMAT_SPMM_ROW,nw14.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,67.821951,374.506314,7.439,
196755,SMAT_SPMM_ROW,nl.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,18.597674,15.889696,0.21,
196904,SMAT_SPMM_ROW,testbig.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,22.25658,31.132522,0.057,
196966,SMAT_SPMM_ROW,deter0.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,16.245574,12.640157,0.237,
196876,SMAT_SPMM_ROW,south31.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,25.637107,50.800216,0.031,
196907,SMAT_SPMM_ROW,testbig.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,21.706801,31.626942,0.027,
196934,SMAT_SPMM_ROW,gen2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,24.023709,21.805522,0.192,
196954,SMAT_SPMM_ROW,l30.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,19.873527,27.523899,0.059,
196695,SMAT_SPMM_ROW,model5.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,23.975334,40.065737,0.594,
196970,SMAT_SPMM_ROW,deter1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,15.342027,11.093414,0.171,
196959,SMAT_SPMM_ROW,stoch_aircraft.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,16.483049,12.279236,0.038,
196961,SMAT_SPMM_ROW,stoch_aircraft.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,21.257832,8.824652,0.035,
196749,SMAT_SPMM_ROW,nemswrld.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,34.724806,79.678421,0.213,
196810,SMAT_SPMM_ROW,r05.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,20.427153,45.189962,0.285,
196832,SMAT_SPMM_ROW,rosen1.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,22.51211,10.005931,0.079,
196979,SMAT_SPMM_ROW,deter2.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,24.181508,22.322922,0.309,
196898,SMAT_SPMM_ROW,t0331-4l.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,55.024932,172.326842,2.19,
196814,SMAT_SPMM_ROW,rlfddd.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,33.85259,105.135632,1.045,
196906,SMAT_SPMM_ROW,testbig.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,21.738756,30.408235,0.026,
196868,SMAT_SPMM_ROW,slptsk.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,23.741388,34.061627,0.054,
196994,SMAT_SPMM_ROW,deter5.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,23.277625,12.087939,0.172,
196940,SMAT_SPMM_ROW,gen4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,23.016369,46.467757,0.272,
196863,SMAT_SPMM_ROW,seymourl.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,23.203488,13.847519,0.073,
196952,SMAT_SPMM_ROW,l30.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,21.052677,15.36445,0.094,
196989,SMAT_SPMM_ROW,deter4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,11.336693,13.400147,0.179,
197008,SMAT_SPMM_ROW,deter7.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,20.583225,12.021338,0.264,
196600,SMAT_SPMM_ROW,cq5.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,27.039138,28.323997,0.245,
196935,SMAT_SPMM_ROW,gen2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,23.880782,22.248735,0.19,
196955,SMAT_SPMM_ROW,l30.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,19.70586,28.949628,0.058,
197001,SMAT_SPMM_ROW,deter6.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,15.47815,15.455144,0.204,
196924,SMAT_SPMM_ROW,world.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,41.494175,83.175373,0.494,
196887,SMAT_SPMM_ROW,stat96v4.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,72.044513,191.906369,3.433,
196892,SMAT_SPMM_ROW,stat96v5.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,41.687451,93.846163,0.168,
196761,SMAT_SPMM_ROW,nw14.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,67.669841,378.82528,7.521,
196967,SMAT_SPMM_ROW,deter0.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,256,16.312277,12.702712,0.234,
196856,SMAT_SPMM_ROW,route.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,34.199102,87.013755,1.721,
196875,SMAT_SPMM_ROW,south31.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,32.376855,31.467597,0.069,
197020,SMAT_SPMM_ROW,fxm2-6.mtx,SB_degree,ROW,SMAT_SPMM_ROW,32.0,32,19.903494,8.26073,0.079,
196947,SMAT_SPMM_ROW,gen.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,256,33.198853,32.012681,0.163,
196664,SMAT_SPMM_ROW,lpl2.mtx,random1D,ROW,SMAT_SPMM_ROW,32.0,32,19.193196,20.108385,0.174,
